EventId,EventTemplate,Occurrences
6e5a4650,[10797228.954252] DMA free:8812kB min:784kB low:980kB high:1176kB active_anon:6744kB inactive_anon:0kB active_file:40kB inactive_file:144kB unevictable:0kB isolated(anon):0kB isolated(file):0kB present:15804kB mlocked:0kB dirty:0kB writeback:0kB mapped:0kB shmem:0kB slab_reclaimable:8kB slab_unreclaimable:0kB kernel_stack:0kB pagetables:12kB unstable:0kB bounce:0kB writeback_tmp:0kB pages_scanned:817 all_unreclaimable? yes,1
c02a20cd,[10797228.954259] lowmem_reserve[]: 0 867 2016 2016,1
e603007b,[10797228.954271] Normal free:80768kB min:44116kB low:55144kB high:66172kB active_anon:712808kB inactive_anon:0kB active_file:216kB inactive_file:548kB unevictable:0kB isolated(anon):0kB isolated(file):0kB present:887976kB mlocked:0kB dirty:28kB writeback:0kB mapped:180kB shmem:0kB slab_reclaimable:6616kB slab_unreclaimable:59416kB kernel_stack:2792kB pagetables:2748kB unstable:0kB bounce:0kB writeback_tmp:0kB pages_scanned:1243 all_unreclaimable? yes,1
0a29add8,<*> lowmem_reserve[]: 0 0 <*> <*>,2
6fe541d9,[10797228.954288] HighMem free:492kB min:512kB low:15124kB high:29736kB active_anon:1170584kB inactive_anon:4624kB active_file:12kB inactive_file:36kB unevictable:0kB isolated(anon):0kB isolated(file):0kB present:1176408kB mlocked:0kB dirty:56kB writeback:0kB mapped:6924kB shmem:7388kB slab_reclaimable:0kB slab_unreclaimable:0kB kernel_stack:0kB pagetables:7988kB unstable:0kB bounce:0kB writeback_tmp:0kB pages_scanned:73 all_unreclaimable? yes,1
c7be1dc5,[10797228.954298] DMA: 23*4kB 1*8kB 63*16kB 31*32kB 8*64kB 7*128kB 3*256kB 1*512kB 2*1024kB 1*2048kB 0*4096kB = 8884kB,1
0475d5b3,[10797228.954309] Normal: 4132*4kB 3094*8kB 632*16kB 238*32kB 120*64kB 54*128kB 12*256kB 0*512kB 0*1024kB 2*2048kB 0*4096kB = 80768kB,1
c57c7f8e,[10797228.954320] HighMem: 10*4kB 19*8kB 9*16kB 5*32kB 1*64kB 0*128kB 0*256kB 0*512kB 0*1024kB 0*2048kB 0*4096kB = 560kB,1
8d8596ff,[10797228.954331] 2114 total pagecache pages,1
615c5983,[10797228.954333] 0 pages in swap cache,1
49fbc18c,"[10797228.954336] Swap cache stats: add 0, delete 0, find 0/0",1
4ab38117,[10797228.954338] Free swap = 0kB,1
38592264,[10797228.954340] Total swap = 0kB,1
79f06cab,[10797228.962029] 524240 pages RAM,1
3abfe124,[10797228.962032] 296418 pages HighMem,1
d544a2bf,[10797228.962034] 5641 pages reserved,1
8ed0b494,[10797228.962035] 14884 pages shared,1
8f801fac,[10797228.962037] 492513 pages non-shared,1
5b129690,[10797228.962864] Out of memory: Kill process 27975 (vim) score 374 or sacrifice child,1
0468cd0c,"[10797228.963168] Killed process 27975 (vim) total-vm:806000kB, anon-rss:797476kB, file-rss:148kB",1
7c2a23f8,[501879.845724] ip_tables: (C) 2000-2006 Netfilter Core Team,1
8bc109fb,"[origin software=""rsyslogd"" swVersion=""5.8.11"" <*> x-info=""http://www.rsyslog.com""] start",4
c1d3a2bd,[root] output.txt/ZMODEM: got ZSKIP,2
09d6da63,"[root] output.txt/ZMODEM: 4117560 Bytes, <*> BPS",2
d05d290d,"[root] aptopo.jar/ZMODEM: <*> Bytes, <*> BPS",16
37c81f2e,[root] aptopo.jar/ZMODEM: procheader error,1
2e31312b,[root] aptopo.jar/ZMODEM: <*>,3
2b47a171,[root] aptopo.jar/ZMODEM: zrdata returned ERROR,2
961de9f2,[root] no.name/ZMODEM: got error,4
4d5ba71a,imuxsock begins to drop messages from pid 10070 due to rate-limiting,1
4c9758ae,imuxsock lost 28 messages from pid 10070 due to rate-limiting,1
02d7169a,[root] SysInfoCollection.py/ZMODEM: got ZSKIP,2
1dacb148,"[root] SysInfoCollection.py/ZMODEM: 10688 Bytes, <*> BPS",2
